ID,chemIndex,porosity,freq,amp,initialStrain,initialStress,intervalCode,cycle,stiffness,stiffnessROC,damping,dampingROC,NVP
113,1,high,0.5,2.4258753733764193E-2,-0.52755998521085357,-5.40974125626341,G,7000,0.05108322138921651,3.3163575181214405e-7,-5.895945675592566,-4.279597629303744e-6,1.601130773599635
114,1,high,0.5,2.4300551446183816E-2,-0.44881906066950328,-4.238312376470029,G,7000,0.03851232564093903,1.869892143303298e-7,-5.930625442422624,-1.1500300395059781e-6,1.52436654944311
120,1,high,2,2.4319551746456163E-2,-0.44881966137082407,-4.683026855760013,G,7000,0.04192409043411137,9.940852656679932e-8,-5.805061025454666,-1.0313625157039041e-6,1.6587425996346115
123,1,high,10,2.3155500796167072E-2,-0.52756846100808852,-5.730141348165807,G,7000,0.11545728137493268,-6.320986929346518e-8,0.49322460470313123,2.5939438385247372e-8,1.5082446478459963
124,1,high,5,2.4043844946017488E-2,-0.52756540793483053,-5.8597449459478606,G,7000,0.07955128139243485,-1.5538616782009852e-8,-5.530052617056982,-8.120125940536128e-8,1.6571637546362057
131,1,high,2,2.4288179423705203E-2,-0.52755877026996834,-5.8932509077896755,G,7000,0.07234314923486328,-5.200644681596645e-9,-5.6649488359789295,-2.591945387022676e-7,1.654100843205369
138,1,high,0.5,2.4139612236788142E-2,-0.45669205351708692,-6.0756811161405908,G,3000,-0.07425039540981636,-1.2859441766884527e-6,-2.8779417919317933,-5.99228211430436e-7,1.5258091702856553
155,1,high,0.5,2.4770290556294913E-2,-0.45669222240591623,-7.6083469277822866,G,3000,-0.096762031602881,-8.887593393076682e-7,-2.8850266008784855,1.5617855267788805e-6,1.6245992470317954
107,2,low,0.5,2.4039107664406652E-2,-0.29133322325570032,-110.36201609756436,G,7000,1.1319231449300238,-9.029114304854647e-6,-6.050098373213668,-1.0603458765103825e-6,1.4781386560507379
118,2,low,0.29999999999999993,2.4718528557623479E-2,-0.29133607283822832,-99.292455569186998,G,7000,1.023075003760369,4.9482697089613396e-6,-6.0696745128221234,-1.7768198158307768e-6,1.4736985887422853
125,2,low,10.007692307692308,2.3109187217787746E-2,-0.29135883272624691,-116.38172865434537,G,7000,1.2031578869256294,-1.6018099920689365e-6,0.6760569741902076,-2.747778966205594e-7,1.5468742526935442
126,2,low,0.40000000000000008,2.4061549102421653E-2,-0.29133551917199146,-99.961184560208238,G,7000,0.9775952317993923,9.141606219874588e-7,-6.060564723316058,-7.060403656984349e-7,1.5058736541356557
154,2,low,0.5,2.4446100643851307E-2,-0.69291603183379524,-111.27783380790446,G,3000,-1.1284982736019207,9.778581324417778e-7,-2.9099456879183934,-3.29492773725093e-6,1.4674868860491586
105,2,high,0.5,2.4053768858335774E-2,-0.52755878135939549,-11.309205798293299,G,7000,0.11953948686398637,-4.789403977593365e-7,-6.016618450908334,-6.323877669043298e-7,1.5885299050407831
127,2,high,10,2.3120995267766595E-2,-0.52757893569880199,-11.286631204923472,G,7000,0.1112280861617852,-2.0216722483441806e-7,0.8730123531903744,-5.634413445143593e-9,1.5899319003152248
150,2,high,15,7.5980023919371517E-2,-0.52758250913579996,-11.247552581452979,G,3000,0.0699222500806181,-6.965224301395955e-7,1.0976921371745705,-1.7120231421674514e-6,2.5171832759076254
151,2,high,14.996666666666666,2.2209895777175647E-2,-0.52757296345442162,-10.128652239928856,G,3000,0.06948247677519293,-2.9120978749463956e-8,1.1442860418838157,-5.388301370623516e-8,1.5206085843256467
152,2,high,15.00344827586207,4.6110984293437303E-2,-0.5275596302975889,-9.7568620078289872,G,3000,0.1611178073900643,-5.65966972385451e-7,0.4505620868107747,2.5803919218509997e-6,1.6134403754995985
153,2,high,20,2.2590403908833941E-2,-0.52757513488626362,-10.21461550140822,G,3000,0.06969673388436143,-1.6183089101203252e-6,1.2638257336414782,5.712794135467547e-6,1.4406743773598965
156,2,high,0.5,2.4341741191036756E-2,-0.45669171449968832,-12.285923280013334,G,3000,-0.15790796302973373,-3.4873259544543347e-7,-2.8993721275549507,-2.2354582519188426e-6,1.6664269807228571
109,3,low,0.5,2.4178551084111738E-2,-0.29133686826991273,-157.58113193542448,G,7000,2.9570725587060402,2.7732985934232345e-6,-6.075634793757836,-5.919981174971056e-7,1.5467228471045458
111,3,low,0.5,2.4200331488404461E-2,-0.2913354684281298,-212.68782062723184,G,7000,2.9464102007723603,-9.198348814080326e-6,-6.069298472644872,-5.869437185879179e-7,1.531483469135059
128,3,low,0.02,2.4812812057302076E-2,-0.29133059815925855,-157.49605425274407,G,7000,2.131783605863908,3.0049719326756373e-5,-6.095704844398406,-9.064846682633743e-7,1.6643461998553981
129,3,low,10.005555555555555,2.2995208930251101E-2,-0.29134838615455322,-189.5761103698693,G,7000,2.3003993753606924,-2.8180417582661653e-6,0.6566123425358992,-4.572764587305045e-7,1.6134870270315538
141,3,low,0.5,2.4089210191575599E-2,-0.69291668465565726,-174.21675831782167,G,3000,-2.2103275409187364,7.680577569267211e-6,-2.915445787107201,-2.2528845107454563e-6,1.492612928247981
143,3,low,2,2.4569540548064036E-2,-0.29133401605071235,-186.7649021493599,G,3000,2.500949396763478,-7.534577912330142e-6,-5.981393342239371,-1.9652704390962226e-6,1.636346621908644
145,3,low,15,2.2767054073013646E-2,-0.29144721583737276,-209.55184734073819,G,3000,2.2506784747198108,-1.981894673162188e-5,0.8727764020938049,-1.320315438341657e-6,1.5511967554095838
168,3,low,15.007142857142856,3.7859706656321261E-2,-0.2913529057324557,-240.18896722005104,G,3000,2.937156887533878,-5.2119752663129407e-5,0.24896406026651086,-1.5687267556590002e-6,1.6125640623350674
103,3,high,0.5,2.4476333130798222E-2,-0.52755930951866969,-22.593622784915166,G,7000,0.3057602515901575,-1.447075046980273e-6,-6.068265744931429,-1.0876653759410714e-6,1.6477985543072429
108,3,high,10,2.3065943486435064E-2,-0.52756024422647796,-23.485219208487827,G,5000,0.42080343858514996,-1.3943609541201552e-6,0.2962151612020918,-4.950481684775632e-7,1.7003828840441555
112,3,high,5,2.3964377933336459E-2,-0.52756223987618711,-19.879039773524777,G,7000,0.28527857102032533,-5.278810894306929e-7,0.30169675130371987,-3.159849467864184e-7,1.6922671911306055
142,3,high,0.5,2.4530083303194415E-2,-0.45669294622286438,-20.607753654852853,G,3000,-0.28188481916218616,9.01495651550288e-7,-2.8604548917025308,-2.007433481846732e-6,1.7256210014370448
148,3,high,15.001694915254237,2.2486050356579117E-2,-0.52755758950407772,-21.174834671245321,G,3000,0.37012659657858776,-1.9747708542879883e-6,0.3140971611610346,-4.019225613798305e-7,1.565200917939505
