ID,chemIndex,porosity,freq,amp,initialStrain,initialStress,intervalCode,cycle,stiffnessFrac,dampingFrac,stiffness,damping,stiffnessROC,dampingROC,NVP
152,2,high,15.00344827586207,4.6110984293437303E-2,-0.5275596302975889,-9.7568620078289872,B,250,0.9752331316324397,1.0133963529463776,0.1657957393904677,0.4453527961313277,-1.6842090860931357e-5,2.060673611978281e-5,1.5962812463755494
153,2,high,20,2.2590403908833941E-2,-0.52757513488626362,-10.21461550140822,B,250,0.9665326126564897,1.0278308685212314,0.07182851209038131,1.263348168442907,-9.948604340746292e-6,3.2027480360596884e-5,1.4160958292270884
156,2,high,0.5,2.4341741191036756E-2,-0.45669171449968832,-12.285923280013334,B,250,0.9699760161916697,0.9570913241844321,0.1602735822567184,-2.8915446202700643,-1.9844001741288088e-5,-4.287578108985457e-5,1.6136884176720789
109,3,low,0.5,2.4178551084111738E-2,-0.29133686826991273,-157.58113193542448,B,2000,0.9741229018484814,0.993371247426022,2.941236004998054,-6.071579385238744,-3.906624751542575e-5,-0.0031422775854540903,1.5594743062788476
111,3,low,0.5,2.4200331488404461E-2,-0.2913354684281298,-212.68782062723184,B,2000,0.970690637579076,0.9169309031401625,3.021336170127608,-6.063044784742722,-4.561362465933061e-5,-0.003151202675500695,1.6010166728120323
128,3,low,0.02,2.4812812057302076E-2,-0.29133059815925855,-157.49605425274407,B,2000,1.0115791672096288,0.8935973808757824,2.0301775676157288,-6.089408993497354,1.1619340474114725e-5,-1.1198724442363694e-5,1.6846087928619324
129,3,low,10.005555555555555,2.2995208930251101E-2,-0.29134838615455322,-189.5761103698693,B,2000,0.9062174358210413,0.989659678669807,2.3233222814417647,0.6608929196851903,-1.2021790375855513e-4,-2.5215766813758147e-6,1.6173275051357565
141,3,low,0.5,2.4089210191575599E-2,-0.69291668465565726,-174.21675831782167,B,250,0.9841471487469767,0.9512992669600456,2.2603491958382618,-2.9018607744928877,-1.4564073930260334e-4,-0.02517983498202509,1.4712269872411146
143,3,low,2,2.4569540548064036E-2,-0.29133401605071235,-186.7649021493599,B,250,0.9673446101265946,0.9916982136226391,2.554593129954197,-5.970495158898143,-3.449493955030576e-4,-0.02514253464355621,1.6694635490543288
145,3,low,15,2.2767054073013646E-2,-0.29144721583737276,-209.55184734073819,B,250,0.9519333292903375,1.0030263061343674,2.4141362021178723,0.876929121165767,-4.8759502921063636e-4,5.944117218910527e-6,1.5625152228376551
